term,definition,link,introduced_by_card_id
pytest-cov,"pytest-cov is a plugin (installed separately) that adds the --cov option to pytest, turning a normal test run into one that also measures and reports code coverage.",https://pypi.org/project/pytest-cov/,379
branch coverage,"Branch coverage is a stricter form of coverage tracking (turned on with --cov-branch) that checks both sides of every if/else actually ran, catching cases plain line coverage misses — like an else that never executes.",,388
pytest-xdist,"A pytest plugin that runs your test suite across several worker processes at once instead of one test after another, so a big suite finishes in a fraction of the wall-clock time on a multi-core machine.",https://pytest-xdist.readthedocs.io/,451
test isolation,"The property that one test's setup, data, and side effects can't leak into another test. It's easy to get away with weak isolation when tests run one at a time in a fixed order, but running them in parallel (or in a different order) exposes the gap immediately.",,161
ini options,"pytest settings written under a config file's [tool.pytest.ini_options] section (in pyproject.toml) or a plain pytest.ini/setup.cfg file, so options like test paths and markers live in one checked-in place instead of being retyped on the command line every time.",https://docs.pytest.org/en/stable/reference/customize.html,479
addopts,"An ini option that lists command-line flags pytest should apply automatically on every run, such as -v or --strict-markers, without anyone having to remember to type them.",,470
testpaths,"An ini option that tells pytest which directories to search for tests by default, so running plain `pytest` from anywhere in the project still finds the right files.",,470
src layout,"A project structure where your installable package lives inside a src/ folder (src/mypackage/) with a separate tests/ directory next to it, rather than at the repository root. It forces tests to import the package as it would actually be installed, catching packaging mistakes a flatter layout would hide.",,486
editable install,"An installation (`pip install -e .`) that links a package's source files directly into your environment instead of copying them, so edits to the code are picked up immediately -- this is what lets pytest import a src-layout package by name without reinstalling after every change.",,487
anti-pattern,"A coding habit that looks reasonable on the surface but reliably causes problems down the line -- in testing, things like asserting on private internals, over-mocking, or reusing an overly broad fixture everywhere are classic examples this course calls out by name.",,516
